C1,C2,C3,P1,P2,P3,P4,P5
3.6,6,5.6,656,,757,717,602
4.4,5.6,5.2,498,632,526,965,602
4.8,5.2,5.2,643,787,744,608,449
5.2,5.2,4.8,784,758,637,639,598
6,5.6,4.4,699,734,595,669,638
7,4.8,4.8,694,728,646,662,660
8,4.4,4.4,530,582,601,700,597
8,6,4.8,535,501,553,458,533
8,7,5.2,363,388,424,441,541
