1,4.8,5.2,5.2,4.160,1185
2,5.2,5.2,4.8,4.160,1183
3,4.4,5.6,5.2,4.252,1174
4,4.8,5.2,4.8,4.457,1174
5,4,5.6,5.6,4.421,1164
6,4,5.6,5.2,4.707,1164
7,4.4,5.2,5.2,4.516,1162
8,4.4,5.6,5.6,4.017,1162
9,5.2,5.2,4.4,4.516,1160
10,5.2,5.2,5.2,3.900,1160
11,4.4,5.2,5.6,4.252,1159
12,4.8,5.2,5.6,3.935,1158
13,4.8,5.6,4.8,4.200,1158
14,4.8,5.6,5.2,3.935,1156
15,4.8,4.8,5.2,4.457,1149
16,4.4,5.6,4.8,4.563,1147
17,5.2,5.6,4.8,3.935,1144
18,4,6,5.2,4.457,1142
19,4.4,6,5.2,4.047,1140
20,5.2,4.8,4.8,4.457,1140
21,4,5.2,5.6,4.707,1137
22,5.2,4.8,5.2,4.160,1134
23,4.8,4.8,5.6,4.200,1133
24,4,6,5.6,4.200,1133
25,5.2,5.6,4.4,4.252,1130
26,4.8,5.6,5.6,3.733,1121
27,4.4,6,4.8,4.328,1120
28,4.4,6,5.6,3.834,1118
29,4.8,5.6,4.4,4.563,1117
30,4,6,4.8,4.800,1113
31,4.4,4.8,5.6,4.563,1110
32,5.2,5.2,5.6,3.702,1109
33,5.2,5.6,5.2,3.702,1107
34,5.6,5.2,4.4,4.252,1106
35,5.6,5.2,4.8,3.935,1106
36,4.8,6,4.8,4.000,1104
37,5.2,4.8,5.6,3.935,1103
38,3.6,6,5.6,4.755,1103
39,4.8,6,5.2,3.759,1097
40,5.2,5.6,4,4.707,1077
41,5.2,6,4.8,3.759,1071
42,5.6,4.8,4.8,4.200,1071
43,5.6,5.6,4.4,4.017,1070
44,5.6,4.8,4.4,4.563,1069
45,5.6,5.6,4.8,3.733,1068
46,5.6,5.2,4,4.707,1067
47,4.8,6,4.4,4.328,1067
48,5.6,5.2,5.2,3.702,1063
49,4.4,6,4.4,4.714,1062
50,5.2,6,4.4,4.047,1059
51,4.8,6,5.6,3.574,1058
52,5.6,4.8,5.2,3.935,1048
53,5.2,5.6,5.6,3.523,1047
54,4.8,4.4,5.6,4.563,1043
55,4.8,7,4.8,3.652,1039
56,5.2,7,4.8,3.450,1037
57,5.2,6,5.2,3.545,1033
58,4.8,7,5.2,3.450,1032
59,5.2,4.4,5.2,4.516,1032
60,5.6,5.6,4,4.421,1032
61,4.4,7,5.2,3.691,1022
62,5.2,7,4.4,3.691,1017
63,5.2,4.4,5.6,4.252,1017
